headline,url,title
"‘Lingui, the Sacred Bonds’ Review: Love, Ferocious and Limitless",https://www.nytimes.com/2022/02/03/movies/lingui-the-sacred-bonds-review.html,"Lingui, the Sacred Bonds Review"
‘The Pink Cloud’ Review: Love in Lockdown,https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,The Pink Cloud Review
‘A Journal for Jordan’ Review: Reflections on Love Built and Lost,https://www.nytimes.com/2021/12/23/movies/a-journal-for-jordan-review.html,A Journal for Jordan Review
"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight",https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,West Side Story Review
"‘Aulcie’ Review: Love and Basketball, in Israel",https://www.nytimes.com/2021/11/16/movies/aulcie-review.html,Aulcie Review
‘Love Is Love Is Love’ Review: Aging Too Gracefully,https://www.nytimes.com/2021/11/11/movies/love-is-love-is-love-review.html,Love Is Love Is Love Review
"‘Love Hard’ Review: Seeking Connection, Not Perfection",https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,Love Hard Review
‘Bergman Island’ Review: Love Among the Cinephiles,https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,Bergman Island Review
‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,Hard Luck Love Song Review
‘South of Heaven’ Review: Anything for Love,https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html,South of Heaven Review
‘Wife of a Spy’ Review: Trust or Fear in Love and War?,https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,Wife of a Spy Review
‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,Happier Than Ever Review
‘Together’ Review: Love and Loathing in London,https://www.nytimes.com/2021/08/26/movies/together-review.html,Together Review
‘Annette’ Review: Love Hurts,https://www.nytimes.com/2021/08/05/movies/annette-review.html,Annette Review
‘Resort to Love’ Review: A Struggling Singer in Paradise,https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,Resort to Love Review
"‘Woodstock 99: Peace, Love and Rage’ Review: How a Festival Went Wrong",https://www.nytimes.com/2021/07/23/movies/woodstock-99-peace-love-and-rage-review.html,"Woodstock 99: Peace, Love and Rage Review"
"‘Casanova, Last Love’ Review: Reappraising a Philanderer",https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,"Casanova, Last Love Review"
‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,Running Against the Wind Review
‘Asia’ Review: Tough Love and an Indecent Proposal,https://www.nytimes.com/2021/06/10/movies/asia-review.html,Asia Review
‘Undine’ Review: Love In and Out of the Water,https://www.nytimes.com/2021/06/03/movies/undine-review.html,Undine Review
‘This Town’ Review: Love and Rifles,https://www.nytimes.com/2021/05/20/movies/this-town-review.html,This Town Review
‘Tu Me Manques’ Review: Traces of a Lost Love,https://www.nytimes.com/2021/04/22/movies/tu-me-manques-review.html,Tu Me Manques Review
‘Monday’ Review: A Year of Love and Its Hangovers,https://www.nytimes.com/2021/04/15/movies/monday-review.html,Monday Review
‘Ride or Die’ Review: Killing for Love,https://www.nytimes.com/2021/04/15/movies/ride-or-die-review.html,Ride or Die Review
"‘Future People’ Review: Connected by Biology, Bonded by Love",https://www.nytimes.com/2021/04/09/movies/future-people-review.html,Future People Review
‘Luz’ Review: Love In and Out of Lockup,https://www.nytimes.com/2021/03/18/movies/luz-review.html,Luz Review
‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,https://www.nytimes.com/2021/03/18/movies/happily-review.html,Happily Review
‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,This Is the Life Review
‘To All the Boys: Always and Forever’ Review: Love Sweet Love,https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,To All the Boys: Always and Forever Review
‘Young Hearts’ Review: Movie Love by Algorithm,https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,Young Hearts Review
‘Little Fish’ Review: Do You Remember Love?,https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,Little Fish Review
‘Two of Us’ Review: Thwarted Love,https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,Two of Us Review
